Neuron name,Codex July 2025
WED-VLP-1_L4,720575940627174247
WED-VLP-1_L5,720575940629954724
WED-VLP-1_L6,720575940641400224
WED-VLP-1_L7,720575940623547685
WED-VLP-1_L8,720575940603186790
WED-VLP-1_L9,720575940621447077
WED-VLP-1_L10,720575940622969528
WED-VLP-1_L11,720575940632157631
WED-VLP-2_R1,720575940627350060
WED-VLP-2_R2,720575940632649567
WED-VLP-2_R3,720575940622609678
WED-VLP-2_R4,720575940617117656
WED-VLP-2_R5,720575940609927653
WED-VLP-2_L1,720575940634126949
WED-VLP-2_L2,720575940634126478
WED-VLP-2_L3,720575940622699196
WED-VLP-2_L4,720575940613943413
WED-VLP-2_L5,720575940630744019
WV-WV-1_1,720575940623322877
WV-WV-1_2,720575940622123981
WV-WV-1_3,720575940635330204
WV-WV-2_1,720575940605095346
WV-WV-2_2,720575940634571383
WV-WV-2_3,720575940620835327
WV-WV-2_4,720575940625345328
WV-WV-2_5,720575940621148660
WV-WV-2_6,720575940618342966
WV-WV-3_1,720575940639811469
WV-WV-3_2,720575940603533246
WV-WV-3_3,720575940632945177
WV-WV-3_4,720575940627201579
WV-WV-3_5,720575940621717469
WV-WV-3_6,720575940605214636
WV-WV-3_7,720575940604201830
WV-WV-4_1,720575940609513841
WV-WV-4_2,720575940641545888
AVLP_pr01-1_R1,720575940619783518
AVLP_pr01-1_R2,720575940620062633
AVLP_pr01-1_R3,720575940602914988
AVLP_pr01-1_R4,720575940620195719
AVLP_pr01-1_R5,720575940634508174
AVLP_pr01-1_L1,720575940628489516
AVLP_pr01-1_L2,720575940622065432
AVLP_pr01-1_L3,720575940631425965
AVLP_pr01-1_L4,720575940623987982
AVLP_pr01-1_L5,720575940629283659
AVLP_pr01-2_R1,720575940630353682
AVLP_pr01-2_R2,720575940627642818
AVLP_pr01-2_R3,720575940609014370
AVLP_pr01-2_R4,720575940632670434
AVLP_pr01-2_L1,720575940626042499
AVLP_pr01-2_L2,720575940620929416
AVLP_pr01-2_L3,720575940603683505
AVLP_pr01-2_L4,720575940621713672
AVLP_pr01-3_R,720575940607055061
AVLP_pr01-3_L,720575940627709801
AVLP_pr02_R1,720575940644319796
AVLP_pr02_R2,720575940619583749
AVLP_pr02_R3,720575940636504553
AVLP_pr02_L1,720575940610558357
AVLP_pr02_L2,720575940630087542
AVLP_pr02_L3,720575940617390027
WED_pr01-1_R1,720575940623621157
WED_pr01-1_R2,720575940624875018
WED_pr01-1_R3,720575940624314468
WED_pr01-1_R4,720575940616612313
WED_pr01-1_R5,720575940626228329
WED_pr01-1_L1,720575940624473918
WED_pr01-1_L2,720575940632303807
WED_pr01-1_L3,720575940622529574
WED_pr01-1_L4,720575940619491828
WED_pr01-1_L5,720575940621558762
WED_pr01-2_R1,720575940628584783
WED_pr01-2_R2,720575940628038906
WED_pr01-2_R3,720575940638666473
GNG_pr_01-1_R1,720575940629687824
GNG_pr_01-1_R2,720575940655398817
GNG_pr_01-1_R3,720575940630203589
GNG_pr_01-1_R4,720575940615966943
GNG_pr01-1_L1,720575940635520489
GNG_pr01-1_L2,720575940625778428
GNG_pr01-1_L3,720575940628869391
GNG_pr01-1_L4,720575940617641077
GNG_pr01-2_R1,720575940619615770
GNG_pr01-2_R2,720575940621429757
GNG_pr01-2_R3,720575940612801022
GNG_pr01-2_L1,720575940641626056
GNG_pr01-2_L2,720575940630571068
AVLP_pr22_R1,720575940630622803
AVLP_pr22_R2,720575940613530636
AVLP_pr22_R3,720575940611713634
AVLP_pr22_R4,720575940618003672
AVLP_pr22_L1,720575940639256704
AVLP_pr22_L2,720575940627660905
AVLP_pr22_L3,720575940633613026
AVLP_pr22_L4,720575940632527571
AVLP_pr22_L5,720575940613917042
IPS/WED_pr01_R1,720575940616420150
IPS/WED_pr01_R2,720575940632184928
IPS/WED_pr01_R3,720575940612975007
IPS/WED_pr01_R4,720575940642686999
IPS/WED_pr01_R5,720575940630049617
IPS/WED_pr01_R6,720575940615768861
IPS/WED_pr01_R7,720575940630622509
IPS/WED_pr01_R8,720575940631968855
IPS/WED_pr01_R9,720575940615906388
IPS/WED_pr01_R10,720575940626096138
IPS/WED_pr01_R11,720575940625799950
IPS/WED_pr01_L1,720575940615236582
IPS/WED_pr01_L2,720575940609291214
IPS/WED_pr01_L3,720575940623802298
IPS/WED_pr01_L4,720575940629211960
IPS/WED_pr01_L5,720575940618225030
IPS/WED_pr01_L6,720575940625391397
IPS/WED_pr01_L7,720575940616708108
IPS/WED_pr01_L8,720575940619233812
IPS/WED_pr01_L9,720575940625344529
IPS/WED_pr01_L10,720575940625779655
AVLP_pr31_R1,720575940634709872
AVLP_pr31_R2,720575940607254723
AVLP_pr31_R3,720575940619590081
AVLP_pr31_R4,720575940620801304
AVLP_pr31_R5,720575940622754756
AVLP_pr31_R6,720575940627952207
AVLP_pr31_L1,720575940611694545
AVLP_pr31_L2,720575940627827450
AVLP_pr32_L1,720575940648981881
AVLP_pr32_L2,720575940610929379
AVLP_pr32_L3,720575940617353433
SAD_pr02_R1,720575940621324996
SAD_pr02_R2,720575940617197057
SAD_pr02_R3,720575940617884736
SAD_pr02_R4,720575940630659446
SAD_pr02_R5,720575940615868485
SAD_pr02_R6,720575940612338674
SAD_pr02_R7,720575940623292713
SAD_pr02_L1,720575940620910774
SAD_pr02_L2,720575940608432760
SAD_pr02_L3,720575940633040097
SAD_pr02_L4,720575940623090446
SAD_pr02_L5,720575940627939177
SAD_pr02_L6,720575940645497140
SAD_pr02_L7,720575940615625053
SAD_pr02_L8,720575940620859886
SAD_pr02_L9,720575940628846966
SAD_pr02_L10,720575940611335859
AVLP_pr04_R1,720575940629513478
AVLP_pr04_L1,720575940623113752
AVLP_pr12_R1,720575940628333788
AVLP_pr12_R2,720575940620424472
AVLP_pr12_R3,720575940635130905
AVLP_pr12_R4,720575940626869403
AVLP_pr12_R5,720575940632011420
AVLP_pr12_R6,720575940637319134
AVLP_pr12_R7,720575940616650589
AVLP_pr12_R8,720575940624273395
AVLP_pr12_R9,720575940625194014
AVLP_pr12_L1,720575940614437462
AVLP_pr12_L2,720575940626885124
AVLP_pr12_L3,720575940637079667
AVLP_pr12_L4,720575940634371941
AVLP_pr12_L5,720575940608082990
AVLP_pr12_L6,720575940630037073
AVLP_pr12_L7,720575940606687957
AVLP_PVLP_pr01-1_R1,720575940628071696
AVLP_PVLP_pr01-1_R2,720575940618595894
AVLP_PVLP_pr01-1_L,720575940613531295
AVLP_PVLP_pr01-2_R1,720575940626258690
AVLP_PVLP_pr01-2_R2,720575940629144906
AVLP_PVLP_pr01-2_R3,720575940631799343
AVLP_PVLP_pr01-2_L1,720575940612975853
AVLP_PVLP_pr01-2_L2,720575940634317724
AVLP_PVLP_pr01-2_L3,720575940621752001
AVLP_pr36/asp10a-1_R1,720575940632764883
AVLP_pr36/asp10a-1_R2,720575940617362772
AVLP_pr36/asp10a-1_R3,720575940620356557
AVLP_pr36/asp10a-1_R4,720575940627719294
