,Neuron name,Current Root ID Spring 2023,id
154,WED-VLP-2_L1,720575940627350060,720575940627350060
155,WED-VLP-2_L2,720575940632649567,720575940632649567
156,WED-VLP-2_L3,720575940625032721,720575940625032721
157,WED-VLP-2_L4,720575940622609678,720575940622609678
158,WED-VLP-2_L5,720575940617117656,720575940617117656
159,WED-VLP-2_L6,720575940609927653,720575940609927653
160,WED-VLP-2_L7,720575940638202320,720575940638202320
161,WED-VLP-2_R1,720575940634126949,720575940634126949
162,WED-VLP-2_R2,720575940634126478,720575940634126478
163,WED-VLP-2_R3,720575940622699196,720575940622699196
164,WED-VLP-2_R4,720575940618026667,720575940628033944
165,WED-VLP-2_R5,720575940613943413,720575940613943413
166,WV-WV-1_1,720575940623322877,720575940623322877
167,WV-WV-1_2,720575940622123981,720575940622123981
168,WV-WV-1_3,720575940617940308,720575940635330204
169,WV-WV-2_1,720575940605095346,720575940605095346
170,WV-WV-2_2,720575940634571383,720575940634571383
171,WV-WV-2_3,720575940620835327,720575940620835327
172,WV-WV-2_4,720575940610393458,720575940625345328
173,WV-WV-2_5,720575940621148660,720575940621148660
174,WV-WV-2_6,720575940614483286,720575940618342966
175,WV-WV-3_1,720575940639811469,720575940639811469
176,WV-WV-3_2,720575940603533246,720575940603533246
177,WV-WV-3_3,720575940632945177,720575940632945177
178,WV-WV-3_4,720575940609513841,720575940609513841
179,WV-WV-3_5,720575940616579486,720575940627201579
180,WV-WV-3_6,720575940621717469,720575940621717469
181,WV-WV-3_7,720575940626877799,720575940605214636
182,WV-WV-3_8,720575940604201830,720575940604201830
183,WV-WV-3_9,720575940641545888,720575940641545888
184,AVLP_pr01_L1,720575940619783518,720575940619783518
185,AVLP_pr01_L2,720575940620062633,720575940620062633
186,AVLP_pr01_L3,720575940602914988,720575940602914988
187,AVLP_pr01_L4,720575940630353682,720575940630353682
188,AVLP_pr01_L5,720575940620195719,720575940620195719
189,AVLP_pr01_L6,720575940634508174,720575940634508174
190,AVLP_pr01_L7,720575940627642818,720575940627642818
191,AVLP_pr01_L8,720575940609014370,720575940609014370
192,AVLP_pr01_L9,720575940607055061,720575940607055061
193,AVLP_pr01_R1,720575940628489516,720575940628489516
194,AVLP_pr01_R2,720575940622065432,720575940622065432
195,AVLP_pr01_R3,720575940631425965,720575940631425965
196,AVLP_pr01_R4,720575940626042499,720575940626042499
197,AVLP_pr01_R5,720575940620929416,720575940620929416
198,AVLP_pr01_R6,720575940623987982,720575940623987982
199,AVLP_pr01_R7,720575940603683505,720575940603683505
200,AVLP_pr01_R8,720575940629283659,720575940629283659
201,AVLP_pr01_R9,720575940621713672,720575940621713672
202,AVLP_pr01_R10,720575940627709801,720575940627709801
203,AVLP_pr02_L1,720575940644319796,720575940644319796
204,AVLP_pr02_L2,720575940619583749,720575940619583749
205,AVLP_pr02_L3,720575940636504553,720575940636504553
206,AVLP_pr02_R1,720575940610558357,720575940610558357
207,AVLP_pr02_R2,720575940630087542,720575940630087542
208,AVLP_pr02_R3,720575940617390027,720575940617390027
209,WED_pr01_L1,720575940623621157,720575940623621157
210,WED_pr01_L2,720575940624875018,720575940624875018
211,WED_pr01_L3,720575940624314468,720575940624314468
212,WED_pr01_L4,720575940616612313,720575940616612313
213,WED_pr01_L5,720575940628584783,720575940628584783
214,WED_pr01_L6,720575940626228329,720575940626228329
215,put_WED_pr01_L1,720575940608979395,720575940608979395
216,WED_pr01_R1,720575940608819780,720575940608819780
217,WED_pr01_R2,720575940624473918,720575940624473918
218,WED_pr01_R3,720575940632303807,720575940632303807
219,WED_pr01_R4,720575940622529574,720575940622529574
220,WED_pr01_R5,720575940626853245,720575940626853245
221,put_WED_pr01_R1,720575940629974948,720575940638666473
222,GNG_pr01_L1,720575940619615770,720575940619615770
223,GNG_pr01_L2,720575940605252128,720575940625752300
224,GNG_pr01_L3,720575940621429757,720575940621429757
225,put_GNG_pr01_L1,720575940612801022,720575940612801022
226,put_GNG_pr01_L2,720575940655398817,720575940655398817
227,put_GNG_pr01_L3,720575940630203589,720575940630203589
228,put_GNG_pr01_L4,720575940622420518,720575940615966943
229,GNG_pr01_R1,720575940624361735,720575940615966943
230,GNG_pr01_R2,720575940641626056,720575940641626056
231,GNG_pr01_R3,720575940624666245,720575940624666245
232,GNG_pr01_R4,720575940635520489,720575940635520489
233,GNG_pr01_R5,720575940625778428,720575940625778428
234,GNG_pr01_R6,720575940628869391,720575940628869391
235,put_GNG_pr01_R1,720575940624656276,720575940617641077
236,put_GNG_pr01_R2,720575940630245906,720575940630571068
237,AVLP_pr22_L1,720575940626844559,720575940626844559
238,AVLP_pr22_L2,720575940617622219,720575940617622219
239,AVLP_pr22_L3,720575940645813636,720575940645813636
240,AVLP_pr22_L4,720575940627585918,720575940627585918
241,AVLP_pr22_L5,720575940614949938,720575940614949938
242,AVLP_pr22_L6,720575940618003672,720575940618003672
243,AVLP_pr22_L7,720575940623781438,720575940623781438
244,AVLP_pr22_L8,720575940603692256,720575940603692256
245,AVLP_pr22_L9,720575940630622803,720575940630622803
246,AVLP_pr22_L10,720575940603695025,720575940603695025
247,AVLP_pr22_L11,720575940623095832,720575940625463048
248,AVLP_pr22_L12,720575940634136255,720575940634136255
249,AVLP_pr22_L13,720575940613530636,720575940613530636
250,AVLP_pr22_L14,720575940606613771,720575940606613771
251,AVLP_pr22_L15,720575940642687255,720575940642687255
252,AVLP_pr22_L16,720575940620808948,720575940620808948
253,put_AVLP_pr22_L1,720575940628881739,720575940628881739
254,put_AVLP_pr22_L2,720575940622730022,720575940611713634
255,put_AVLP_pr22_L3,720575940628139024,720575940620111006
256,AVLP_pr22_R1,720575940621649288,720575940639223524
257,AVLP_pr22_R2,720575940611888337,720575940611888337
258,AVLP_pr22_R3,720575940632904555,720575940630669818
259,AVLP_pr22_R4,720575940645516676,720575940645516676
260,AVLP_pr22_R5,720575940623352873,720575940623352873
261,AVLP_pr22_R6,720575940629001719,720575940642345179
262,AVLP_pr22_R7,720575940610414450,720575940610414450
263,AVLP_pr22_R8,720575940620566733,720575940620566733
264,AVLP_pr22_R9,720575940621230739,720575940621230739
265,AVLP_pr22_R10,720575940632527571,720575940632527571
266,put_AVLP_pr22_R1,720575940638897779,720575940628745745
267,put_AVLP_pr22_R2,720575940624106023,720575940624106023
268,IPS/WED_pr01_L1,720575940616420150,720575940616420150
269,IPS/WED_pr01_L2,720575940632184928,720575940632184928
270,IPS/WED_pr01_L3,720575940612975007,720575940612975007
271,IPS/WED_pr01_L4,720575940642686999,720575940642686999
272,IPS/WED_pr01_L5,720575940630049617,720575940630049617
273,IPS/WED_pr01_L6,720575940615768861,720575940615768861
274,IPS/WED_pr01_L7,720575940630622509,720575940630622509
275,put_IPS/WED_pr01_L1,720575940624461496,720575940631968855
276,put_IPS/WED_pr01_L2,720575940615906388,720575940615906388
277,IPS/WED_pr01_R1,720575940615236582,720575940615236582
278,IPS/WED_pr01_R2,720575940609291214,720575940609291214
279,IPS/WED_pr01_R3,720575940623802298,720575940623802298
280,IPS/WED_pr01_R4,720575940629211960,720575940629211960
281,IPS/WED_pr01_R5,720575940618225030,720575940618225030
282,IPS/WED_pr01_R6,720575940625391397,720575940625391397
283,put_IPS/WED_pr01_R1,720575940620840669,720575940616708108
284,put_IPS/WED_pr01_R2,720575940619233812,720575940619233812
285,put_IPS/WED_pr01_R3,720575940625344529,720575940625344529
286,put_IPS/WED_pr01_R4,720575940625779655,720575940625779655
287,put_IPS/WED_pr01_R5,720575940619679356,720575940619679356
288,AVLP_pr31_L1,720575940634709872,720575940634709872
289,AVLP_pr31_L2,720575940628405366,720575940628405366
290,AVLP_pr31_L3,720575940610880149,720575940610880149
