,Neuron name,Codex July 2025,new_id
345,AVLP_pr36/asp10a-1_L10,720575940641972384,720575940641972384
346,AVLP_pr36/asp10a-2_L1,720575940644252951,720575940644252951
347,AVLP_pr36/asp10a-2_L2,720575940623437180,720575940623437180
348,AVLP_pr18-1_R,720575940616941201,720575940616941201
349,AVLP_pr18-1_L,720575940632109775,720575940632109775
350,AVLP_pr18-2_R,720575940630396790,720575940630396790
351,AVLP_pr18-2_L,720575940630302551,720575940630302551
352,AVLP_pr05-1_R1,720575940618477806,720575940618477806
353,AVLP_pr05-1_R2,720575940617529669,720575940617529669
354,AVLP_pr05-1_R3,720575940615798045,720575940615798045
355,AVLP_pr05-1_R4,720575940617193009,720575940617193009
356,AVLP_pr05-1_R5,720575940625839345,720575940625839345
357,AVLP_pr05-1_R6,720575940603331686,720575940603331686
358,AVLP_pr05-1_L1,720575940618048724,720575940618048724
359,AVLP_pr05-1_L2,720575940629414201,720575940629414201
360,AVLP_pr05-1_L3,720575940639494528,720575940639494528
361,AVLP_pr05-1_L4,720575940629349340,720575940629349340
362,AVLP_pr05-1_L5,720575940623849496,720575940623849496
363,AVLP_pr05-1_L6,720575940630303307,720575940630303307
364,AVLP_pr05-2_R1,720575940617943205,720575940617943205
365,AVLP_pr05-2_R2,720575940624172290,720575940624172290
366,AVLP_pr05-2_L,720575940617842196,720575940617842196
367,AVLP_pr05-3_L1,720575940612965791,720575940612965791
368,AVLP_pr05-3_L2,720575940607049941,720575940607049941
369,AVLP_pr05-3_L3,720575940605611209,720575940605611209
370,IPS_pr01-1_R1,720575940615915035,720575940615915035
371,IPS_pr01-1_R2,720575940610088618,720575940610088618
372,IPS_pr01-1_R3,720575940616812217,720575940616812217
373,IPS_pr01-1_R4,720575940624015459,720575940624015459
374,IPS_pr01-1_R5,720575940629851496,720575940629851496
375,IPS_pr01-1_L1,720575940627632428,720575940627632428
376,IPS_pr01-1_L2,720575940617575760,720575940617575760
377,IPS_pr01-1_L3,720575940618292416,720575940618292416
378,IPS_pr01-2_R1,720575940629316152,720575940629316152
379,IPS_pr01-2_R2,720575940624763678,720575940624763678
380,IPS_pr01-2_R3,720575940610678226,720575940610678226
381,IPS_pr01-2_L1,720575940609630357,720575940609630357
382,IPS_pr01-2_L2,720575940619925887,720575940619925887
383,IPS_pr01-2_L3,720575940624732260,720575940624732260
384,IPS_pr01-2_L4,720575940621983757,720575940621983757
385,AVLP_pr11_R,720575940614079715,720575940614079715
386,AVLP_pr11_L1,720575940616783833,720575940616783833
387,AVLP_pr11_L2,720575940610504750,720575940610504750
388,WED_pr02_R1,720575940621835246,720575940621835246
389,WED_pr02_R2,720575940625887631,720575940625887631
390,WED_pr02_R3,720575940616121408,720575940616121408
391,WED_pr02_R4,720575940611674265,720575940611674265
392,WED_pr02_R5,720575940616211013,720575940616211013
393,WED_pr02_R6,720575940615930299,720575940615930299
394,WED_pr02_R7,720575940621540586,720575940621540586
395,WED_pr02_R8,720575940640507763,720575940640507763
396,WED_pr02_R9,720575940620581748,720575940620581748
397,WED_pr02_R10,720575940605308082,720575940605308082
398,WED_pr02_R11,720575940606743170,720575940606743170
399,WED_pr02_L1,720575940632998136,720575940632998136
400,WED_pr02_L2,720575940634299071,720575940634299071
401,WED_pr02_L3,720575940637410394,720575940637410394
402,WED_pr02_L4,720575940635981742,720575940635981742
403,WED_pr02_L5,720575940630258003,720575940630258003
404,WED_pr02_L6,720575940633044634,720575940633044634
