,pre_pt_root_id,post_pt_root_id,neuropil,syn_count,nt_type,Excitatory,Signed_Connectivity,Presynaptic_Index,Postsynaptic_Index
55961,720575940617353433,720575940632527571,AVLP_L,1,ACH,1,1,278,246
55962,720575940627709801,720575940611694545,AVLP_L,1,GABA,-1,-1,206,274
55963,720575940603186790,720575940629954724,AVLP_L,6,ACH,1,6,155,152
55964,720575940627174247,720575940620929416,AVLP_L,31,ACH,1,31,151,202
55965,720575940617641077,720575940635520489,AVLP_L,1,GABA,-1,-1,233,230
55966,720575940620929416,720575940634126949,AVLP_L,13,GABA,-1,-13,202,164
55967,720575940623787495,720575940610929379,AVLP_L,4,ACH,1,4,150,277
55968,720575940644968302,720575940617390027,AVLP_L,6,ACH,1,6,408,212
55969,720575940604445868,720575940646518382,AVLP_L,1,ACH,1,1,341,480
55970,720575940633443353,720575940641921421,SAD,1,,-1,-1,929,1081
55971,720575940636471408,720575940633300148,SCL_L,2,ACH,1,2,340,471
55972,720575940618409797,720575940625887631,AVLP_R,34,ACH,1,34,59,386
55973,720575940631367776,720575940613309359,AMMC_R,2,ACH,1,2,1128,1164
55974,720575940615473186,720575940613105311,GNG,1,,-1,-1,1435,1442
55975,720575940634605531,720575940623001736,SAD,2,ACH,1,2,1242,1265
55976,720575940616211013,720575940632288815,AMMC_R,1,GABA,-1,-1,389,624
55977,720575940625626000,720575940606222428,AL_L,1,,-1,-1,944,1405
55978,720575940640591861,720575940610146713,SAD,2,,-1,-2,1452,1395
55979,720575940635330204,720575940609927141,AVLP_R,6,GABA,-1,-6,171,138
55980,720575940615469785,720575940605919334,SAD,2,ACH,1,2,1050,1305
55981,720575940615272415,720575940616661109,SAD,1,,-1,-1,1302,1369
55982,720575940629505274,720575940622518749,SAD,1,,-1,-1,902,991
55983,720575940625887631,720575940631631564,AMMC_R,1,GABA,-1,-1,386,64
55984,720575940619508033,720575940646400644,SAD,1,,-1,-1,567,75
55985,720575940627939177,720575940625885512,SAD,2,GABA,-1,-2,290,1456
55986,720575940627839304,720575940625483962,AMMC_L,2,,-1,-2,738,91
55987,720575940632692378,720575940625984528,SAD,6,ACH,1,6,829,132
55988,720575940632252661,720575940613422860,SAD,5,ACH,1,5,666,96
55989,720575940632649697,720575940622699196,AVLP_L,5,ACH,1,5,6,166
55990,720575940627839304,720575940612523571,AMMC_L,5,,-1,-5,738,29
55991,720575940611335859,720575940624571116,AMMC_L,1,GABA,-1,-1,295,427
55992,720575940644057635,720575940623233238,AMMC_L,5,SER,-1,-5,692,77
55993,720575940620835327,720575940617882397,SAD,3,GABA,-1,-3,174,79
55994,720575940636785205,720575940619047028,GNG,1,ACH,1,1,1387,1437
55995,720575940620422938,720575940604839200,SAD,2,ACH,1,2,765,30
55996,720575940630122015,720575940625391397,AMMC_L,1,ACH,1,1,1073,264
55997,720575940624872179,720575940633044634,AMMC_L,5,ACH,1,5,121,401
55998,720575940629913169,720575940635330204,AVLP_L,18,ACH,1,18,9,171
55999,720575940633364179,720575940617273560,GNG,2,,-1,-2,1505,1417
56000,720575940632288815,720575940608893623,AMMC_R,3,,-1,-3,624,631
56001,720575940640817204,720575940605209521,AMMC_R,2,SER,-1,-2,804,817
56002,720575940620835327,720575940624314468,SAD,2,GABA,-1,-2,174,215
56003,720575940621639133,720575940618772719,AMMC_R,1,ACH,1,1,1104,493
56004,720575940622892988,720575940628574723,SAD,2,ACH,1,2,965,982
56005,720575940623189799,720575940644488727,AMMC_L,6,,-1,-6,556,428
56006,720575940613682911,720575940644968302,AMMC_L,1,,-1,-1,581,408
56007,720575940616428884,720575940621242025,AMMC_L,2,,-1,-2,794,68
56008,720575940623928812,720575940628908670,AMMC_R,1,,-1,-1,1203,1237
56009,720575940631448338,720575940603636913,AMMC_R,7,,-1,-7,605,39
56010,720575940612153086,720575940626258690,SAD,1,ACH,1,1,81,317
56011,720575940631631564,720575940624087283,AL_R,1,ACH,1,1,64,63
56012,720575940614109615,720575940603903264,SAD,1,,-1,-1,1376,484
56013,720575940637834301,720575940620424472,EPA_R,1,ACH,1,1,333,299
56014,720575940627282279,720575940628160617,SAD,1,ACH,1,1,1061,1251
56015,720575940619940811,720575940620980323,SAD,3,,-1,-3,733,51
56016,720575940610674581,720575940608035374,AMMC_R,5,ACH,1,5,606,97
56017,720575940637410394,720575940609513841,SAD,2,GABA,-1,-2,398,185
56018,720575940621521917,720575940629267498,GNG,1,ACH,1,1,1422,1460
56019,720575940610028868,720575940604274622,AMMC_L,1,,-1,-1,795,786
56020,720575940617575760,720575940624875018,PLP_L,1,GABA,-1,-1,373,214
56021,720575940612523571,720575940622969528,AVLP_L,1,ACH,1,1,29,157
56022,720575940607853833,720575940622199977,,3,,-1,-3,1197,1206
56023,720575940628267264,720575940621148660,AMMC_L,1,GABA,-1,-1,405,176
56024,720575940634371941,720575940608082990,ICL_L,1,ACH,1,1,310,311
56025,720575940621870576,720575940638214461,AMMC_R,27,ACH,1,27,539,5
56026,720575940632715359,720575940623987982,WED_L,2,ACH,1,2,22,195
56027,720575940616413509,720575940608035374,AMMC_R,7,ACH,1,7,642,97
56028,720575940621148660,720575940618409797,GNG,1,GABA,-1,-1,176,59
56029,720575940619785566,720575940636504553,AVLP_R,2,ACH,1,2,144,209
56030,720575940633057943,720575940633044634,AMMC_L,2,,-1,-2,551,401
56031,720575940632829507,720575940609076693,AMMC_R,1,ACH,1,1,83,45
56032,720575940617884736,720575940632945177,AVLP_R,1,GABA,-1,-1,281,180
56033,720575940615860748,720575940622518749,AMMC_R,1,,-1,-1,992,991
56034,720575940615768861,720575940626096138,WED_R,1,GABA,-1,-1,253,257
56035,720575940614310802,720575940631693610,PVLP_R,10,ACH,1,10,54,0
56036,720575940627263375,720575940631153194,GNG,2,ACH,1,2,52,409
